01_ID,02_表示・非表示,03_商品名,04_画像ファイル名,05_申込URL,06_実質年率,07_限度額,08_審査時間,09_融資までの時間,10_ポイント,11_銀行系カードローン,12_即日融資,13_おまとめローン,14_スマホ対応,15_消費者金融,16_お試し審査,17_一定期間無利息,18_総量規制外,19_限度額大きい,20_自動審査（3秒）,21_30分以内,22_1時間以内,23_3時間以内,24_当日中,25_30万以上,26_100万以上,27_300万以上,28_500万以上,29_800万以上,30_4％以下,31_5％以下,32_6％以下,33_7％以下,34_8％以下,35_1時間以内,36_3時間以内,37_当日中,38_1週間以内,39_学生・主婦OK,40_来店不要,41_自動審査,42_保証人不要,43_土日祝日可,44_セブン,45_ファミマ,46_ローソン,47_サンクス,48_銀行系,49_非銀行系,50_金利並び替え用数字（少数NG）,51_審査時間並び替え用数字,52_融資スピード並び替え用数字,53_限度額並び替え用数字
201,1,"三菱東京ＵＦＪ銀行
カードローン",sc_mitubishi.gif,http://www.lonlab.jp/link/mitubishi.html,4.6％〜14.6％,10万〜500万円,迅速,最短即日,今日借りれるカードローン最短即日で利用可能 ！24時間365日インターネットよりお申込可能な為、土日でも借り入れ可能です。三菱東京ＵＦＪ銀行の口座不要。預金口座の開設も必要ありません。 パート、アルバイトの方も申込みが可能です。,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,460,10,8,500
101,1,"新生銀行カードローン
レイク",sc_lake.gif,http://www.lonlab.jp/link/lake.html,4.5％〜18.0％,1万円〜500万円,-,"即日
(※申込の時間帯によっては
対応できない場合がございます)",5万円までなら180日間無利息融資、30日間無利息サービスもお勧め。審査に不安な方は申込み前に【レイクの借入れ診断】で確認出来ます。来店不要で即日借入れ出来ます、お急ぎの方にお勧め。（※お申込の時間帯によっては対応できない場合がございます。）,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,450,999,7,500
301,1,プロミス,sc_promice.gif,http://www.lonlab.jp/link/promice.html,6.3%〜17.8%,1〜300万円,即回答,-,アルバイト・パート・派遣社員・契約社員の方も、契約可能です。審査に不安の方は申し込み前にプロミスのお試し審査で確認できます。お急ぎの方にはネットからスピーディーな審査回答。,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,630,5,999,300
401,1,アコム,sc_acom.gif,http://www.lonlab.jp/link/acom.html,4.7〜18.0%,1万円〜500万円,最短1週間,1時間,最短30分の審査時間！インターネットで24時間・365日ご融資可能です。大手消費者金融なので安心してキャッシングができます。審査に不安の方は申し込み前にアコムの3秒診断をお試しください。,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,470,100,3,500
501,1,みずほ銀行カードローン,sc_mizuho.gif,http://www.lonlab.jp/link/mizuho.html,年4.0%〜14.0%,"1,000万円",最短即日,-,"金利年4.0%〜14.0%。最大ご利用限度額1,000万円。さらに、みずほ銀行の住宅ローンをご利用の場合、みずほ銀行カードローンの店頭表示の基準金利より金利を年0.5%を引き下げ。",1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,400,8,999,1000
601,1,モビット,sc_mobit.gif,http://www.lonlab.jp/link/mobit.html,4.8%〜18.0%,1万円〜500万円,"最短30分で
審査完了","当日融資
※14:50迄の振込手続完了で
当日振込可。
審査結果により不可の場合有。",おまとめ支持率が高いため借入れ一本化することに適しています。安定した収入がある方なら、アルバイト・パート・自営業の方も利用可能。審査に不安の方は申込み前にモビットの10秒簡易審査で確認できます。,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,480,2,7,500
701,1,オリックスVIPローンカード,sc_orixvip.gif,http://www.lonlab.jp/link/orixvip.html,3.5%〜14.8%,最高800万円,最短即日,-,提携CD・ATMの充実度はトップクラスの全国約16万台。(主要な銀行・コンビニ・ゆうちょ銀行でご利用いただけます。) ご契約枠が最高８００万円まで借り入れ可能。審査時間は最短即日で対応可能。（土・日・祝日を除く）,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,350,8,999,800
801,1,オリックス銀行カードローン,sc_orix_bank.gif,http://www.lonlab.jp/link/orix_bank.html,3.0％〜17.8％,最高800万円,-,"契約後
最短即日",業界最低金利年利3.0％〜17.8％！最短即日審査可能。100万円以下の借入は収入証明不要。口座開設は、不要。 振込みまたは、全国の提携ATMで借入・返済可。資金使途自由の極度型商品です。,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,300,999,8,800
901,1,"東京スター銀行
バンクフリー",sc_tokyo.gif,http://www.lonlab.jp/link/bankfree.html,"年率17.8％
(保証料含む)",一律30万円,数日程度,-,複数のローンは、ひとつにしよう　借り換え専用おまとめローン。前年の年収200万円以上の給与所得者の方(正社員･契約社員の方)が対象。返済日は毎月一回に！ご来店不要！複数の借金を1つにまとめて完済を目指します！,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1780,40,999,30
1001,1,ノーローン,sc_noloan.gif,http://www.lonlab.jp/link/noloan.html,9.5%〜18.0%,300万円,最短20分,"即日
(※審査結果のご連絡が１２：３０以降
になった場合、お振込の手続きは
翌営業日となります。)","「なんどでも1週間無利息キャッシング」はノーローンだけ！完済した翌月以降の借入も無利息になります。パートや、アルバイトの方も申込み可能になります。
来店不要で即日融資が可能！",0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,950,1,8,300
1101,1,ビジネクスト,sc_businext.gif,http://www.lonlab.jp/link/bijinext.html,"8.0％〜15.0％
（利用限度額
100万円以上）
13.0％〜18.0％
（利用限度額
100万円未満）","50万円〜
1,000万円",即日,3日程度,事業主専用のカードローンならビジネクスト！来店原則不要でネット申込みで契約完了の事業主専用カードローン。総量規制対象外、最大融資額1000万円保証料無料、年会費無料の安心と低利息が魅力。 ,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,800,7,12,1000
