01_ID,02_表示・非表示,03_商品名,04_画像ファイル名,05_申込URL,06_実質年率,07_限度額,08_審査時間,09_融資までの時間,10_ポイント,11_銀行系カードローン,12_即日融資,13_おまとめローン,14_スマホ対応,15_消費者金融,16_お試し審査,17_一定期間無利息,18_総量規制外,19_限度額大きい,20_自動審査（3秒）,21_30分以内,22_1時間以内,23_3時間以内,24_当日中,25_30万以上,26_100万以上,27_300万以上,28_500万以上,29_800万以上,30_4％以下,31_5％以下,32_6％以下,33_7％以下,34_8％以下,35_1時間以内,36_3時間以内,37_当日中,38_1週間以内,39_学生・主婦OK,40_来店不要,41_自動審査,42_保証人不要,43_土日祝日可,44_セブン,45_ファミマ,46_ローソン,47_サンクス,48_銀行系,49_非銀行系,50_金利並び替え用数字（少数NG）,51_審査時間並び替え用数字,52_融資スピード並び替え用数字,53_限度額並び替え用数字,54_優先クライアント,55_必要書類,56_保証人,57_担保,58_来店,59_入会金・手数料,60_借入時最低年齢,61_学生,62_専業主婦,63_アルバイト,64_返済方式,65_返済方法,66_返済期間・回数,67_資本金,68_会社設立年度,69_店舗営業時間,70_ATM営業時間,71_本社所在地,72_貸金業登録番号
201,0,"三菱東京ＵＦＪ銀行
カードローン",sc_mitubishi.gif,http://cashing-ex.net/link/mitubishi.html,4.6％〜14.6％,10万〜500万円,迅速,"<font color=""#FF0000""><b>最短即日</b></font>","<span class=""yellow""><b>今日借りれるカードローン最短即日で利用可能！</b></span>24時間365日インターネットより借り入れ可能です。三菱東京ＵＦＪ銀行の口座不要。パート、アルバイトの方も申込みが可能です。",1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,460,10,8,500,1,ご本人が確認できる書類（運転免許証、健康保険証等）,不要,不要,一切不要,無料,20歳,可,不可,可,残高スライド方式,自社ＡＴＭ、銀行・コンビニの提携ATM,-,"9,969億円",-,-,-,東京都千代田区丸の内二丁目7番1号,-
501,1,みずほ銀行カードローン,sc_mizuho.gif,http://cashing-ex.net/link/mizuho.html,"エグゼクティブプラン
年3.0%〜7.0%


コンフォートプラン
年3.5〜14.0％","最大1,000万円",最短即日,最短即日,"[エグゼクティブプラン] 金利年3.0％〜7.0％。
最大ご利用限度額1,000万円。<br><font size=""""-2"""">※住宅ローンのご利用で、本カードローンの金利を年0.5％引き下げます。
エグゼクティブプランの年3.0％、コンフォートプランの年3.5％は引き下げ適用後の金利です。",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,400,8,8,1000,1,"・ご印鑑
・氏名、住所、生年月日が記載された本人確認ができる資料のコピー
　（運転免許証、健康保険証など）
・本人の年収を確認できる資料のコピー（源泉徴収票など）
　※ご利用限度額が200万円以下の場合は不要です。",不要,不要,不要（一部必要な場合もあります）,無料,20歳,可,可,"可
（ただし、配偶者に安定かつ継続した収入がある方は、限度額30万円を上限にお申し込みいただけます。）",残高スライド方式,"返済用普通預金からお引き落とし
ＡＴＭ／ＣＤ、コンビニATM、店頭窓口、インターネット",毎月10日（銀行休業日の場合、翌営業日）,-,-,-,-,-,-
601,1,モビット,sc_mobit.gif,http://cashing-ex.net/link/mobit.html,4.8%〜18.0%,1万円〜500万円,"最短30分で
審査完了※申込の曜日、時間帯によっては翌日以降の取扱となる場合があります。","当日融資
※14:50迄の振込手続完了で
当日振込可。
審査結果により不可の場合有。",おまとめ支持率が高いため借入れ一本化することに適しています。審査に不安の方は申込み前にモビットの10秒結果表示で確認できます。,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,480,2,7,500,1,運転免許証・健康保険証等の写し、現在の収入を証明する源泉徴収票等の写し,不要,不要,一切不要,無料,20歳,不可,不可,可,借入後残高スライド元利定額返済方式,口座振込・銀行/コンビニの提携ＡＴＭ・口座自動引き落とし,最長7年　（最大84回）,-,-,-,-,東京都新宿区西新宿2-4-1　新宿ＮＳビル10Ｆ,関東財務局長(5)第01239号
401,1,アコム,sc_acom.gif,http://cashing-ex.net/link/acom.html,4.7〜18.0%,1万円〜500万円,最短30分,最短即日,"<font color=""#FF0000""><b>30日間 金利 0 円サービス！</b></font><br>最短30分の審査時間！大手消費者金融なので安心してキャッシングができます。審査に不安の方は申し込み前にアコムの3秒診断をお試しください。",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,470,100,3,500,0,"運転免許証（交付を受けていない方は健康保険証等）
※お借入総額により収入証明書(源泉徴収票等)が必要",不要,不要,一切不要,無料,20〜69歳の安定した収入と返済能力を有する方で、当社基準を満たす方,"可　　20歳以上で安定した収入がある方であればご利用可能。
（※未成年者は親権者の同意が必要です）",不可,可,定率リボルビング方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアコムのホームページでご確認下さい。",最終借入日から最長6年9ヵ月・1回〜80回,"638億3,252万円",昭和53年10月23日（1978年10月23日）,9：30〜18：00,24時間,東京都千代田区丸の内二丁目1番1号　明治安田生命ビル,関東財務局長(10)第00022号
101,1,"新生銀行カードローン
レイク",sc_lake.gif,http://cashing-ex.net/link/lake.html,4.5％〜18.0％,1万円〜500万円,画面に審査結果を表示,"即日
(※申込の時間帯によっては
対応できない場合がございます)",5万円までなら180日間無利息融資、30日間無利息サービスもお勧め。審査に不安な方は申込み前に【レイクの借入れ診断】で確認出来ます。,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,450,999,7,500,0,"運転免許証（お持ちでない方は健康保険証など）
収入証明(契約額に応じて必要とする場合)",不要,不要,一切不要,無料,20歳,可,不可,可,"・残高スライドリボルビング
・元利定額リボルビング","・店頭窓口
・提携ATM
・口座振込
・口座引落",5年間・60回　※自由返済の為、返済期間・回数はお借入れおよび返済計画に応じて変動,"665億1,870万5,427円",1994年10月1日,-,"平日・土曜日　8時45分〜24時
日曜日・祝日　8時45分〜22時",東京都中央区日本橋室町2丁目4番3号,-
301,0,プロミス,sc_promice.gif,http://cashing-ex.net/link/promice.html,4.5%〜17.8%,1〜500万円,最短30分,-,アルバイト・パート・派遣社員・契約社員の方も、契約可能です。審査に不安の方は申し込み前にプロミスのお試し審査で確認できます。,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,450,5,999,500,0,"運転免許証。（運転免許証をお持ちでない方は健康保険証、パスポートまたは外国人登録証明書をご用意ください。)
※お借入総額により収入証明書類（源泉徴収票等）が必要です。
※個人事業主の方は確定申告書(写し)等が必要です。",不要,不要,一切不要,無料,20歳以上69歳以下,可,不可,可,残高スライド元利定額返済方式,自社ATM、銀行・コンビニの提携ＡＴＭ、銀行振込、店頭窓口、現金書留,最終借入後原則最長6年9ヶ月・1〜80回,"140,737百万円",昭和37年3月,-,-,東京都中央区銀座四丁目12番15号,関東財務局長（11）第00615号
801,1,"オリックス銀行
カードローン",sc_orix_bank.gif,http://cashing-ex.net/link/orix_bank.html,3.0％〜17.8％,最高800万円,-,"契約後
最短即日","最短即日審査可能。<br><font color=""#FF0000""><b>300万円以下の借入は収入証明不要！</b></font>口座開設は不要。 振込みまたは、全国の提携ATMで借入・返済可。資金使途自由の極度型商品です。",1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,300,999,8,800,0,"1.ご本人さまのお名前、ご住所、生年月日が確認できる資料の写し（以下のいずれか１通）
・運転免許証（裏面に住所変更の記載がある場合は両面とも）
・各種健康保険証（被保険者および被扶養者のページ）
・外国人登録証明書 ・印鑑証明書（※） ・住民票（※）
※発行後3ヵ月以内のものをご用意ください。

2.ご本人さまのご年収を確認できる資料の写し（以下のいずれか１通）
※申込金額が100万円以下の場合は不要です。
・源泉徴収票
・住民税決定通知書または課税証明書（※1）
・納税証明書（その2）（※2）
・確定申告書（付表付）（税務署の受付印のあるもの。e-Tax利用の場合は申告書の写し及び受信通知）（※3）
【ご注意】個人事業主、会社経営者の方は（※1）、（※2）、（※3）のいずれかに限ります。
※審査条件により、別途書類の提出をお願いする場合があります。
※ご提出いただいた書類は返却できませんので、あらかじめご了承ください。",不要,不要,一切不要,無料,20歳,不可,不可,可,残高スライドリボルビング方式,"下記1.2.3いずれかの方法によりご返済いただけます。
1.お客さまご指定の口座からの口座引落しによるご返済
2.当社指定口座へのお振り込みによるご返済
3.提携金融機関のＡＴＭからの入金によるご返済
※一部、口座引落しにご利用できない金融機関がございます。ご契約時にご確認ください。",1年(原則として審査のうえ自動更新),450億円,1993年8月23日,-,-,〒105-0014 東京都港区芝3-22-8　オリックス乾ビル,-
1901,0,プロミス レディースキャッシング,sc_promice_ladys.gif,http://cashing-ex.net/link/promice_ladys.html,4.5%〜17.8%,1〜500万円,-,-,女性オペレーターが対応！　レディース専用のキャッシングです。SMBCコンシューマーファイナンスのサービスブランドなので 安心してキャッシングできます。,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,450,999,999,500,0,"運転免許証。（運転免許証をお持ちでない方は健康保険証、パスポートまたは外国人登録証明書をご用意ください。)
※お借入総額により収入証明書類（源泉徴収票等）が必要です。
※個人事業主の方は確定申告書(写し)等が必要です。",不要,不要,一切不要,無料,20歳以上69歳以下,可,不可,可,残高スライド元利定額返済方式,自社ATM、銀行・コンビニの提携ＡＴＭ、銀行振込、店頭窓口、現金書留,最終借入後原則最長6年9ヶ月・1〜80回,"140,737百万円",昭和37年3月,-,-,東京都中央区銀座四丁目12番15号,関東財務局長（11）第00615号
1201,0,アイフル,sc_aiful.gif,http://cashing-ex.net/link/aiful.html,4.5％〜18.0％,500万円,最短30分,"<font color=""#FF0000""><b>１時間</b></font>","お申込みからご融資まで全てネットでご契約手続きが完了。
ご融資可能か1秒診断で確認、来店不要で、ネット契約！さらに即日融資も可能。",1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,450,1,8,300,0,運転免許証、健康保険証、パスポートなど,不要,不要,一切不要,無料,20歳,可,可,可,借入後残高スライド元利定額リボルビング返済方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアイフルのホームページでご確認下さい。",1回の支払いにつき35日以内または毎月払い借入直後最長14年6ヶ月（1〜151回））※500万円を12.0％（実質年率）で借入した場合,"1,433億24百万円",昭和53年2月,-,24時間,京都府京都市下京区烏丸通五条上ル高砂町381-1,近畿財務局長(11)第00218号
4501,0,レディースアイフル,sc_aiful_ladys.gif,http://cashing-ex.net/link/aiful_ladys.html,4.5％〜18.0％,500万円,最短30分,"<font color=""#FF0000""><b>最短１時間</b></font>","来店不要のネット契約！
ご融資可能か1秒診断で確認でき、審査時間は最短30分で即日融資対応。
<font color=""#FF0000"">パート・主婦の方も定期的収入があれば借り入れ可能。",1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,450,1,8,300,0,運転免許証、健康保険証、パスポートなど,不要,不要,一切不要,無料,20歳,可,可,可,借入後残高スライド元利定額リボルビング返済方式,"全国の提携ＣＤ・ＡＴＭでご利用・ご返済が可能です。
※提携ＣＤ・ＡＴＭの詳細についてはアイフルのホームページでご確認下さい。",1回の支払いにつき35日以内または毎月払い借入直後最長14年6ヶ月（1〜151回））※500万円を12.0％（実質年率）で借入した場合,"1,433億24百万円",昭和53年2月,-,24時間,京都府京都市下京区烏丸通五条上ル高砂町381-1,近畿財務局長(11)第00218号
101,1,新生銀行カードローン レディースレイク,sc_lake_ladys.gif,http://cashing-ex.net/link/lake_ladys.html,4.5％〜18.0％,1万円〜500万円,画面に審査結果を表示,"即日
(※申込の時間帯によっては
対応できない場合がございます)",安心の「女性専用カードローン」！<br>レディースレイクは「専任の女性オペレーター」が担当します。レディースローンの専門スタッフが、女性にもわかりやすく説明をしてくれます。5万円までなら180日間無利息融資、30日間無利息サービスもお勧め。カードローンの特徴は通常のレイクとは同じです。,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,450,999,7,500,0,運転免許証（お持ちでない方は健康保険証など）,不要,不要,一切不要,無料,20歳,可,不可,可,"・残高スライドリボルビング
・元利定額リボルビング","・店頭窓口
・提携ATM
・口座振込
・口座引落",5年間(期間満了後、1年ごとの自動継続),"665億1,870万5,427円",1994年10月1日,-,"平日・土曜日　8時45分〜24時
日曜日・祝日　8時45分〜22時",東京都中央区日本橋室町2丁目4番3号,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,0,楽天銀行カードローン,sc_rakuten.gif,http://cashing-ex.net/link/rakuten.html,4.9%〜14.5%,10万〜500万円,最短即日,-,"最大限度額は500万円まで借り入れ可能です。月々の返済は3000円から設定可能。
収入証明書の提出は必要ありません。保証人・担保も不要で借入できます。
ネットで申込みができるので24時間OK！コンビニATMでもお借り入れができます。",1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,490,999,999,500,0,"・運転免許証、健康保険証、パスポートのいずれかの写し
・お勤めの方…源泉徴収票・課税証明書・給与明細書のいずれかの写し
・ご自営の方…課税証明書・確定申告書のいずれかの写し",不要,不要,一切不要,無料,20歳,可,可,可,残高スライドリボルビング払い,銀行・コンビニの提携ATM、口座振替,1日、12日、20日、27日から選択,42億円,2000年1月1日,-,-,東京都品川区東品川4-12-3　楽天タワー,-
1801,0,イオン銀行カードローン,sc_aeon.gif,http://cashing-ex.net/link/aeon.html,3.8%〜13.8%,500万円,迅速,-,専業主婦（主夫）、パート、アルバイトの方もお申込み可能。インターネットから24時間お申込み可能です。イオン銀行ＡＴＭならいつでも無料で利用OK。,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,380,2,999,500,0,"氏名、住所、生年月日が記載された本人確認ができる書類のコピー
・運転免許証
・パスポート
・各種健康保険証　など

※極度額100万円以上をお申込みの場合は、
ご年収を確認できる書類のコピーをご用意ください。
・給与証明
・源泉徴収票
・確定申告書　など",不要,不要,一切不要,無料,"年齢が満20歳〜満65歳未満の方で、
ご本人または配偶者に安定かつ継続した収入の見込める方",不可,可,可,残高スライド方式,口座引落し,1年毎の自動更新,-,-,-,24時間,東京都江東区枝川1-9-6,関東財務局長（登金）第633号
701,0,"オリックスVIPローン
カード",sc_orixvip.gif,http://cashing-ex.net/link/orix_vip.html,3.0%〜16.8%,最高800万円,最短即日,-,提携CD・ATMの充実度はトップクラスの全国約16万台。ご契約枠が最高８００万円まで借り入れ可能。,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,350,8,999,800,0,運転免許証、健康保険証、パスポートなど,不要,不要,一切不要,無料,20歳,不可,不可,可,「新残高スライドリボルビング返済」と「元利込定額リボルビング返済」,「返済方法：銀行・コンビニの提携ATM、自動引き落とし」へ変更をお願い致します。,1年毎の自動更新,-,1979年6月1日,-,場所により異なります,東京都立川市曙町2-22-20 立川センタービル,関東財務局長（10）第00170号
901,0,"東京スター銀行
バンクフリー",sc_tokyo.gif,http://cashing-ex.net/link/bankfree.html,"年率17.8％
(保証料含む)",一律30万円,数日程度,-,複数のローンは、ひとつにしよう　借り換え専用おまとめローン。前年の年収200万円以上の給与所得者の方(正社員･契約社員の方)が対象。,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1780,40,999,30,0,"ご本人さまが確認できる資料のコピー
運転免許証またはパスポートなどのいずれか１点

※上記の証明書がない場合は、健康保険証の写しをお願いいたします。
その際は預金通帳、キャッシュカード等のコピーを更に一点追加してください。
※外国人の方は外国人登録証のコピーをお願いいたします。
※状況によっては後日、住民票の写しをお願いする場合がございます。",不要,株式会社TSBキャピタルが保証いたしますので、不要です。,一切不要,事務取扱手数料、繰上返済手数料は、必要ございません。,満20歳以上,不可,不可,不可,-,"【約定返済】
基準日（毎月21日）時点でローン残高がある場合、翌月の約定返済日に下記約定返済額を、お客さまのご指定返済口座から口座振替によりお引き落としいたします。ご返済日前日までにご返済口座へご入金ください。
・東京スター銀行の口座開設が不要です。
・一部ご指定いただけない金融機関があります。
・口座振替手続きの都合上、初回のご返済日に口座振替手続きが間に合わない場合は、お振り込みによるご返済をお願いする場合があります。
・基準日時点でローン残高がない場合、翌月の約定返済は行わないものとします。",-,260億円,2001年6月11日,-,場所により異なります,〒107-8480　東京都港区赤坂二丁目３番５号　赤坂スターゲートプラザ,-
1601,0,楽天銀行,sc_rakuten.gif,http://cashing-ex.net/link/rakuten.html,4.9％〜14.5%,10万円〜500万円,最短即日,-,嬉しい、入会金、年会費は永久無料、・ご入会で、1000ポイントプレゼント！保証人、担保は不要で限度額は10万円〜500万円まで借り入れ可能。 ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,490,7,999,500,0,"・運転免許証、健康保険証、パスポートのいずれかの写し
・お勤めの方…源泉徴収票・課税証明書・給与明細書のいずれかの写し
・ご自営の方…課税証明書・確定申告書のいずれかの写し",不要,不要,一切不要,無料,20歳,可,可,可,残高スライドリボルビング払い,銀行・コンビニの提携ATM、口座振替,1日、12日、20日、27日から選択,42億円,2000年1月1日,-,-,東京都品川区東品川4-12-3　楽天タワー,-
1001,0,ノーローン,sc_noloan.gif,http://cashing-ex.net/link/noloan.html,9.5%〜18.0%,300万円,最短20分,"即日
(※審査結果のご連絡が１２：３０以降
になった場合、お振込の手続きは
翌営業日となります。)",「なんどでも1週間無利息キャッシング」はノーローンだけ！完済した翌月以降の借入も無利息になります。パートや、アルバイトの方も申込み可能になります。,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,950,1,8,300,0,"※運転免許証をご用意ください。
　運転免許証をお持ちでないお客さまは、健康保険証・パスポート・住基カード（いずれか1点）をご用意ください。
※お借入総額により収入証明書類(源泉徴収票等)が必要となります。",不要,不要,一切不要,無料,20歳,不可,不可,可,借入金額スライドリボルピング方式,"1.インターネット返済
2.コンビニのＡＴＭ返済
3.銀行のＡＴＭ返済
4.指定口座振込み返済
5.自動引き落とし、口座振替 
毎月6日か26日の希望する日に返済",最終借入日から最長6年9ヶ月(返済回数1〜80回) ,"28,619百万円",昭和29年12月1日,-,-,東京都豊島区東池袋三丁目１番１号 サンシャイン６０ビル４２Ｆ,関東財務局長（10）第01188号
1101,1,ビジネクスト,sc_businext.gif,http://cashing-ex.net/link/bijinext.html,"8.0％〜15.0％
（利用限度額
100万円以上）
13.0％〜18.0％
（利用限度額
100万円未満）","50万円〜
1,000万円",即日,3日程度,来店原則不要でネット申込みで契約完了の事業主専用カードローン。総量規制対象外、最大融資額1000万円保証料無料、年会費無料の安心と低利息が魅力。 ,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,800,7,12,1000,0,"●法人のお客様
代表者ご本人様を確認する書類、登記事項証明書（商業登記簿謄本）、決算書原則2期分 等
●個人事業主のお客様
ご本人様を確認する書類、確定申告書原則2年分 等",不要　※ただし、法人の場合は代表者様に連帯保証をお願いします。,不要,一切不要,無料,20歳,不可,不可,不可,"元利均等返済：最長5年（60回以内）
　元金一括返済：最長1年（12回以内）",-,最長5年（60回以内）,-,-,-,-,東京都港区芝2丁目31-19,関東財務局長（4）第01262号
1701,0,住信ＳＢＩ銀行,sc_sbi.gif,http://cashing-ex.net/link/sbi.html,3.5〜10.0%,700万円,-,-,最大の特徴は【業界きっての低金利！】年3.5%〜10.0%の低金利!!銀行カードローンなので総量規制対象外。資金使途も自由！他社からの借り換えもOKの万能カードローン！,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,350,999,999,700,0,収入確認書類（写）（借入希望限度額100万円超の方）,不要,不要,一切不要,無料,20歳,不可,不可,不可,残高スライド方式,ATM/CD（提携金融機関）,-,"31,000,000千円",2007年,"月〜金9：00〜19：00 土、日、祝日 9：00〜17：00
※5月3〜5日・12月31日〜1月3日を除く",24時間,東京都港区六本木1-6-1 泉ガーデンタワー18階,-
1401,0,オリックス カードレスVIP,sc_orix_cardless.gif,http://cashing-ex.net/link/orix_cardless.html,3.5%〜14.6%,最高８００万円,最短即日,最短即日,インターネット限定のオリックスカードレスVIP。契約枠最高８００万円で、年率3.5%〜14.6%の低金利は業界トップクラス。審査は即日対応、指定口座へ即時お振込み！,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,350,7,3,800,0,運転免許証・健康保険証等の写し、現在の収入を証明する源泉徴収票等の写し,原則不要。（審査結果によっては、保証会社の保証をご利用いただく場合あり） ※保証会社　ＳＭＢＣコンシューマーファイナンス株式会社,原則不要。（審査結果によっては、保証会社の保証をご利用いただく場合あり） ※保証会社　ＳＭＢＣコンシューマーファイナンス株式会社,一切不要,無料,20歳,可,不可,可,リボルビング払い,自動口座引き落とし／インターネット返済,利用残高、ご融資利率および返済方式に応じた元金と利息の完済までの期間、回数。1年毎の自動更新,-,昭和54年6月,-,-,東京都立川市曙町2-22-20立川センタービル,関東財務局長（10）第00170号
1501,0,ジャパンネット銀行,sc_japan_net.gif,http://cashing-ex.net/link/japan_net.html,2.5%〜18%,"最高1,000万円",-,-,お申込みは簡単スピーディ。初回借入から何度でも30日間無利息。必要な分を繰り返し何度でも借入可能！,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,250,999,999,1000,0,"運転免許証（コピー）
住民票の写し（発行後3ヶ月以内の原本）
日本政府発行のパスポート（コピー）
印鑑証明書（発行後3ヶ月以内の原本）
各種健康保険証（コピー）
各種年金手帳（コピー）+ 補助資料（原本）※
身体障害者手帳を含む各種福祉手帳（コピー）+ 補助資料（原本）※
※年金手帳または身体障害者手帳を含む福祉手帳のコピーをご提出いただく場合は、下記補助資料の原本いずれか1つを必ずご用意ください。",不要,不要,一切不要,無料,20歳,不可,不可,可,約定返済,約定返済日前日までに普通預金口座に約定返済額をご入金ください。,契約時に1日〜28日・月末のいずれかご希望の日を指定できます。,-,-,-,-,東京都新宿区西新宿2-1-1,関東財務局長(登金)第624号
1601,0,紀陽銀行,sc_kiyou.gif,http://cashing-ex.net/link/kiyou.html,5.8〜14.9%,500万円,年齢満20歳〜65歳の安定した収入のある方,-,"「いざ！」という時にATMでサッと使える！
キャッシュカードにローン機能がプラス。カード１枚で２役
パートアルバイトの方も30万円までご融資可能",1,0,0,0,0,0,0,0,500万円,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,580,999,999,500,0,"・ご本人様確認資料：運転免許証、健康保険証、パスポートのいずれか
※契約極度額が100万円以上の場合、所得確認資料が必要(100万円未満であっても必要となる場合がございます)",不要,不要,一切不要,無料,20歳,不可,不可,不可,-,"銀行・コンビニの提携ATM、
口座振替",-,800億96百万円,明治28年5月2日,-,-,和歌山市本町１丁目３５番地,-
1701,0,新生銀行,sc_shinsei.gif,http://cashing-ex.net/link/shinsei.html,4.5〜18.0%,500万円,年齢満20歳〜65歳の安定した収入のある方,-,"初めて借入れされる方なら契約翌日から
お借入額全額30日間無利息。
また5万円までの融資なら180日間無利息。",1,0,0,0,0,0,0,0,500万円,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,450,999,999,500,0,"運転免許証(お持ちでない方は健康保険証などの本人確認書類)
※ご契約額が100万円超の時は収入証明書類が必要です。",不要,不要,一切不要,無料,20歳,不可,不可,不可,"・元利定額リボルビング方式
・残高スライドリボルビング方式","自社ATM、口座振替
銀行・コンビニの提携ATM",-,"5,122億円",昭和27年12月,-,-,東京都中央区日本橋室町2-4-3 日本橋室町野村ビル,-
1801,0,常陽銀行,sc_jouyou.gif,http://cashing-ex.net/link/joyobank.html,7.8%〜14.8%,500万円,年齢満20歳〜65歳の安定した収入のある方,-,"口座なし、収入証明なしで利用可能！
最短即日でご融資。",1,0,0,0,0,0,0,0,500万円,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,300,999,999,500,0,お申し込みに際して、ご本人さまを確認できる書類（運転免許証等）をご用意ください。また、100万円超のご利用限度額をご希望の場合は、ご本人さまの収入を証明する書類（源泉徴収票等）の写しも合わせてご用意ください。,不要,不要,一切不要,無料,20歳,不可,不可,不可,-,"ATM、口座振替、
銀行・コンビニの提携ATM",-,851億円,1935年（昭和10年）7月30日,-,-,茨城県水戸市南町2丁目5番5号,-
1901,0,トマト銀行,sc_tomato.gif,http://cashing-ex.net/link/tomato.html,3.0%〜14.5%,1000万円,年齢満20歳〜65歳の安定した収入のある方,-,"来店一切不要！スピード回答！無担保で、
最高1,000万円までご融資いたします。
パート・アルバイト・専業主婦の方も
お申込みいただけます。",1,0,0,0,0,0,0,0,1000万円,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,300,999,999,1000,0,"ご本人確認書類の写し(運転免許証またはパスポート、お持ちでない方は健康保険証)
・所得証明書類の写し(源泉徴収票、住民税決定通知書などの公的年収証明書)　※契約金額300万円以下の場合は不要です。",不要,不要,一切不要,無料,20歳,不可,不可,不可,-,"銀行・コンビニの提携ATM、
口座振替",-,143億1千万円,0時00分00秒,-,-,岡山市北区番町2丁目3番4号,-
